

lambda(m), Y
1.5e-06, -0.964621
1.44175e-06, -0.971364
1.38785e-06, -0.97598
1.33784e-06, -0.97923
1.2913e-06, -0.981334
1.2479e-06, -0.982164
1.20732e-06, -0.981276
1.16929e-06, -0.977724
1.13359e-06, -0.969466
1.1e-06, -0.951703
1.06835e-06, -0.912173
1.03846e-06, -0.81811
1.0102e-06, -0.596044
9.83444e-07, -0.229785
9.58065e-07, -0.016089
9.33962e-07, -0.00295734
9.11043e-07, -0.000957812
8.89222e-07, -0.0264244
8.68421e-07, -0.147496
8.48571e-07, -0.295188
8.29609e-07, -0.364584
8.11475e-07, -0.293827
7.94118e-07, -0.0529056
7.77487e-07, -0.251549
7.61538e-07, -0.752422
7.46231e-07, -0.922413
7.31527e-07, -0.970458
7.17391e-07, -0.986148
7.03791e-07, -0.991925
6.90698e-07, -0.994113
6.78082e-07, -0.994776
6.65919e-07, -0.994685
6.54185e-07, -0.994175
6.42857e-07, -0.993417
6.31915e-07, -0.992538
6.21339e-07, -0.991603
6.11111e-07, -0.990753
6.01215e-07, -0.990045
5.91633e-07, -0.989582
5.82353e-07, -0.989401
5.73359e-07, -0.989487
5.64639e-07, -0.989764
5.5618e-07, -0.990025
5.4797e-07, -0.989885
5.4e-07, -0.988604
5.32258e-07, -0.984595
5.24735e-07, -0.97366
5.17422e-07, -0.943327
5.10309e-07, -0.851021
5.0339e-07, -0.571748
4.96656e-07, -0.120839
4.90099e-07, -0.00150727
4.83713e-07, -0.0184664
4.77492e-07, -0.00289034
4.71429e-07, -0.0086781
4.65517e-07, -0.0285005
4.59752e-07, -0.00346776
4.54128e-07, -0.116588
4.4864e-07, -0.572819
4.43284e-07, -0.851605
4.38053e-07, -0.946197
4.32945e-07, -0.979322
4.27954e-07, -0.992373
4.23077e-07, -0.997822
4.1831e-07, -1
4.13649e-07, -1.00069
4.09091e-07, -1.0008
4.04632e-07, -1.00074
4.0027e-07, -1.0007
3.96e-07, -1.00067
3.91821e-07, -1.00052
3.87728e-07, -1.00006
3.83721e-07, -0.999113
3.79795e-07, -0.997551
3.75949e-07, -0.995339
3.7218e-07, -0.992578
3.68486e-07, -0.989441
3.64865e-07, -0.986063
3.61314e-07, -0.98234
3.57831e-07, -0.977445
3.54415e-07, -0.968477
3.51064e-07, -0.945791
3.47775e-07, -0.872973
3.44548e-07, -0.603618
3.41379e-07, -0.0532233
3.38269e-07, -0.1227
3.35214e-07, -0.288443
3.32215e-07, -0.290188
3.29268e-07, -0.183948
3.26374e-07, -0.0562571
3.23529e-07, -0.00222319
3.20734e-07, -0.000911348
3.17987e-07, -0.00744325
3.15287e-07, -0.162893
3.12632e-07, -0.522379
3.10021e-07, -0.77708
3.07453e-07, -0.890392
3.04928e-07, -0.941043
3.02444e-07, -0.967343
3e-07, -0.983022


