

lambda(m), Y
1.5e-06, -0.0490094
1.44175e-06, -0.0514675
1.38785e-06, -0.0539544
1.33784e-06, -0.0564717
1.2913e-06, -0.0590225
1.2479e-06, -0.0616096
1.20732e-06, -0.0642338
1.16929e-06, -0.0668932
1.13359e-06, -0.0695824
1.1e-06, -0.0722927
1.06835e-06, -0.0750111
1.03846e-06, -0.077721
1.0102e-06, -0.0804025
9.83444e-07, -0.0830335
9.58065e-07, -0.0855906
9.33962e-07, -0.088051
9.11043e-07, -0.0903936
8.89222e-07, -0.0925999
8.68421e-07, -0.0946548
8.48571e-07, -0.0965463
8.29609e-07, -0.0982654
8.11475e-07, -0.0998054
7.94118e-07, -0.101161
7.77487e-07, -0.10233
7.61538e-07, -0.103308
7.46231e-07, -0.104095
7.31527e-07, -0.104691
7.17391e-07, -0.105101
7.03791e-07, -0.105329
6.90698e-07, -0.105385
6.78082e-07, -0.105279
6.65919e-07, -0.105024
6.54185e-07, -0.104632
6.42857e-07, -0.104115
6.31915e-07, -0.103486
6.21339e-07, -0.102754
6.11111e-07, -0.101928
6.01215e-07, -0.101015
5.91633e-07, -0.10002
5.82353e-07, -0.0989484
5.73359e-07, -0.0978038
5.64639e-07, -0.0965893
5.5618e-07, -0.0953063
5.4797e-07, -0.0939542
5.4e-07, -0.0925302
5.32258e-07, -0.0910284
5.24735e-07, -0.0894407
5.17422e-07, -0.0877571
5.10309e-07, -0.0859675
5.0339e-07, -0.0840628
4.96656e-07, -0.0820366
4.90099e-07, -0.0798866
4.83713e-07, -0.0776147
4.77492e-07, -0.0752269
4.71429e-07, -0.0727321
4.65517e-07, -0.0701401
4.59752e-07, -0.0674604
4.54128e-07, -0.0646998
4.4864e-07, -0.0618628
4.43284e-07, -0.0589515
4.38053e-07, -0.0559675
4.32945e-07, -0.0529144
4.27954e-07, -0.0498002
4.23077e-07, -0.0466388
4.1831e-07, -0.0434511
4.13649e-07, -0.0402637
4.09091e-07, -0.0371067
4.04632e-07, -0.0340099
4.0027e-07, -0.031
3.96e-07, -0.0280967
3.91821e-07, -0.0253123
3.87728e-07, -0.0226511
3.83721e-07, -0.0201105
3.79795e-07, -0.0177014
3.75949e-07, -0.0153943
3.7218e-07, -0.0132168
3.68486e-07, -0.0111682
3.64865e-07, -0.00926208
3.61314e-07, -0.00751604
3.57831e-07, -0.00594426
3.54415e-07, -0.00456081
3.51064e-07, -0.00337071
3.47775e-07, -0.00237562
3.44548e-07, -0.00157099
3.41379e-07, -0.000951425
3.38269e-07, -0.000511719
3.35214e-07, -0.000252502
3.32215e-07, -0.000180931
3.29268e-07, -0.000311734
3.26374e-07, -0.000664107
3.23529e-07, -0.00125758
3.20734e-07, -0.00210791
3.17987e-07, -0.00322331
3.15287e-07, -0.00460007
3.12632e-07, -0.00622846
3.10021e-07, -0.00809126
3.07453e-07, -0.0101738
3.04928e-07, -0.0124651
3.02444e-07, -0.0149686
3e-07, -0.017695


