

lambda(m), Y
1.5e-06, -0.745913
1.38679e-06, -0.754058
1.28947e-06, -0.779886
1.20492e-06, -0.795806
1.13077e-06, -0.800725
1.06522e-06, -0.764474
1.00685e-06, -0.00642313
9.54545e-07, -0.056189
9.07407e-07, -0.0112645
8.64706e-07, -0.322865
8.25843e-07, -0.0820908
7.90323e-07, -0.315916
7.57732e-07, -0.769382
7.27723e-07, -0.832546
7e-07, -0.834809
6.74312e-07, -0.835095
6.50442e-07, -0.833509
6.28205e-07, -0.837901
6.07438e-07, -0.844899
5.88e-07, -0.851942
5.69767e-07, -0.863841
5.52632e-07, -0.702798
5.36496e-07, -0.546023
5.21277e-07, -0.146885
5.06897e-07, -0.279187
4.93289e-07, -0.117651
4.80392e-07, -0.0578863
4.68153e-07, -0.0234381
4.56522e-07, -0.561811
4.45455e-07, -0.836691
4.34911e-07, -0.836791
4.24855e-07, -0.855803
4.15254e-07, -0.852729
4.06077e-07, -0.862541
3.97297e-07, -0.862996
3.88889e-07, -0.709859
3.80829e-07, -0.63796
3.73096e-07, -0.161453
3.65672e-07, -0.593262
3.58537e-07, -0.199311
3.51675e-07, -0.424142
3.4507e-07, -0.503355
3.3871e-07, -0.479504
3.32579e-07, -0.494349
3.26667e-07, -0.222024
3.20961e-07, -0.40122
3.15451e-07, -0.240155
3.10127e-07, -0.578651
3.04979e-07, -0.377345
3e-07, -0.228445


