

lambda(m), Y
1.5e-06, -0.805685
1.44175e-06, -0.810827
1.38785e-06, -0.83829
1.33784e-06, -0.864112
1.2913e-06, -0.893561
1.2479e-06, -0.897472
1.20732e-06, -0.905622
1.16929e-06, -0.915417
1.13359e-06, -0.915561
1.1e-06, -0.916437
1.06835e-06, -0.902134
1.03846e-06, -0.880277
1.0102e-06, -0.869513
9.83444e-07, -0.309292
9.58065e-07, -0.0345354
9.33962e-07, -0.00929862
9.11043e-07, -0.0490211
8.89222e-07, -0.0320999
8.68421e-07, -0.0442824
8.48571e-07, -0.309736
8.29609e-07, -0.415789
8.11475e-07, -0.141067
7.94118e-07, -0.409034
7.77487e-07, -0.714466
7.61538e-07, -0.533526
7.46231e-07, -0.877866
7.31527e-07, -0.899922
7.17391e-07, -0.927616
7.03791e-07, -0.928253
6.90698e-07, -0.947683
6.78082e-07, -0.954148
6.65919e-07, -0.959434
6.54185e-07, -0.966257
6.42857e-07, -0.97157
6.31915e-07, -0.975467
6.21339e-07, -0.97335
6.11111e-07, -0.970369
6.01215e-07, -0.968232
5.91633e-07, -0.964611
5.82353e-07, -0.961351
5.73359e-07, -0.962403
5.64639e-07, -0.965143
5.5618e-07, -0.967306
5.4797e-07, -0.973108
5.4e-07, -0.980823
5.32258e-07, -0.98327
5.24735e-07, -0.982269
5.17422e-07, -0.979767
5.10309e-07, -0.878016
5.0339e-07, -0.344797
4.96656e-07, -0.147229
4.90099e-07, -0.0968112
4.83713e-07, -0.0252372
4.77492e-07, -0.0119977
4.71429e-07, -0.0131932
4.65517e-07, -0.0184326
4.59752e-07, -0.440486
4.54128e-07, -0.14853
4.4864e-07, -0.598361
4.43284e-07, -0.814009
4.38053e-07, -0.925784
4.32945e-07, -0.96716
4.27954e-07, -0.986002
4.23077e-07, -0.984352
4.1831e-07, -0.978269
4.13649e-07, -0.976964
4.09091e-07, -0.974137
4.04632e-07, -0.964797
4.0027e-07, -0.964029
3.96e-07, -0.969886
3.91821e-07, -0.968959
3.87728e-07, -0.971508
3.83721e-07, -0.984065
3.79795e-07, -0.98703
3.75949e-07, -0.983648
3.7218e-07, -0.988963
3.68486e-07, -0.985725
3.64865e-07, -0.970241
3.61314e-07, -0.966339
3.57831e-07, -0.96458
3.54415e-07, -0.946307
3.51064e-07, -0.636792
3.47775e-07, -0.684889
3.44548e-07, -0.494581
3.41379e-07, -0.323856
3.38269e-07, -0.268566
3.35214e-07, -0.276066
3.32215e-07, -0.072659
3.29268e-07, -0.0701025
3.26374e-07, -0.0415154
3.23529e-07, -0.0417382
3.20734e-07, -0.637309
3.17987e-07, -0.880099
3.15287e-07, -0.83486
3.12632e-07, -0.905284
3.10021e-07, -0.94175
3.07453e-07, -0.953939
3.04928e-07, -0.946248
3.02444e-07, -0.966068
3e-07, -0.99369


