

lambda(m), Y
1.5e-06, -0.0161778
1.44175e-06, -0.00785717
1.38785e-06, -0.00381404
1.33784e-06, -0.0108639
1.2913e-06, -0.0245756
1.2479e-06, -0.0153568
1.20732e-06, -0.0531737
1.16929e-06, -0.0927775
1.13359e-06, -0.0558574
1.1e-06, -0.0588342
1.06835e-06, -0.0926328
1.03846e-06, -0.0562565
1.0102e-06, -0.0271557
9.83444e-07, -0.0197822
9.58065e-07, -0.00707758
9.33962e-07, -0.00330047
9.11043e-07, -0.0248879
8.89222e-07, -0.0755177
8.68421e-07, -0.0514325
8.48571e-07, -0.10846
8.29609e-07, -0.208095
8.11475e-07, -0.152126
7.94118e-07, -0.124841
7.77487e-07, -0.184272
7.61538e-07, -0.121042
7.46231e-07, -0.0609751
7.31527e-07, -0.0216209
7.17391e-07, -0.0358999
7.03791e-07, -0.0228797
6.90698e-07, -0.259302
6.78082e-07, -0.386754
6.65919e-07, -0.323701
6.54185e-07, -0.586708
6.42857e-07, -0.644195
6.31915e-07, -0.611213
6.21339e-07, -0.636678
6.11111e-07, -0.787463
6.01215e-07, -0.687012
5.91633e-07, -0.708324
5.82353e-07, -0.80612
5.73359e-07, -0.775412
5.64639e-07, -0.855039
5.5618e-07, -0.639097
5.4797e-07, -0.858754
5.4e-07, -0.900382
5.32258e-07, -0.800004
5.24735e-07, -0.70781
5.17422e-07, -0.84589
5.10309e-07, -0.740289
5.0339e-07, -0.496594
4.96656e-07, -0.616595
4.90099e-07, -0.532361
4.83713e-07, -0.238441
4.77492e-07, -0.183335
4.71429e-07, -0.109564
4.65517e-07, -0.0292641
4.59752e-07, -0.0302252
4.54128e-07, -0.0669266
4.4864e-07, -0.0502034
4.43284e-07, -0.0791903
4.38053e-07, -0.124939
4.32945e-07, -0.0820502
4.27954e-07, -0.0595568
4.23077e-07, -0.073033
4.1831e-07, -0.0452474
4.13649e-07, -0.0197521
4.09091e-07, -0.011173
4.04632e-07, -0.00573262
4.0027e-07, -0.0030285
3.96e-07, -0.00778099
3.91821e-07, -0.0151306
3.87728e-07, -0.0118168
3.83721e-07, -0.0196157
3.79795e-07, -0.0234878
3.75949e-07, -0.0154295
3.7218e-07, -0.0135595
3.68486e-07, -0.0129967
3.64865e-07, -0.00852376
3.61314e-07, -0.00639577
3.57831e-07, -0.00642984
3.54415e-07, -0.00417524
3.51064e-07, -0.0072518
3.47775e-07, -0.00816184
3.44548e-07, -0.00584076
3.41379e-07, -0.0105977
3.38269e-07, -0.0170083
3.35214e-07, -0.0112931
3.32215e-07, -0.0157212
3.29268e-07, -0.0211523
3.26374e-07, -0.0104923
3.23529e-07, -0.0143361
3.20734e-07, -0.00559277
3.17987e-07, -0.0218181
3.15287e-07, -0.019987
3.12632e-07, -0.0440175
3.10021e-07, -0.149676
3.07453e-07, -0.112797
3.04928e-07, -0.18922
3.02444e-07, -0.369479
3e-07, -0.323776


