

lambda(m), Y
1.5e-06, -1.0026
1.38679e-06, -0.996755
1.28947e-06, -0.994688
1.20492e-06, -0.995883
1.13077e-06, -0.98621
1.06522e-06, -0.75369
1.00685e-06, -0.011545
9.54545e-07, -0.0788854
9.07407e-07, -0.0354746
8.64706e-07, -0.239327
8.25843e-07, -0.10381
7.90323e-07, -0.490872
7.57732e-07, -0.922668
7.27723e-07, -0.993587
7e-07, -0.996512
6.74312e-07, -0.999152
6.50442e-07, -1.00095
6.28205e-07, -1.0019
6.07438e-07, -1.00267
5.88e-07, -1.00198
5.69767e-07, -0.99777
5.52632e-07, -0.963393
5.36496e-07, -0.437561
5.21277e-07, -0.276414
5.06897e-07, -0.260284
4.93289e-07, -0.11291
4.80392e-07, -0.0802491
4.68153e-07, -0.0277678
4.56522e-07, -0.336985
4.45455e-07, -0.963149
4.34911e-07, -0.998541
4.24855e-07, -0.999124
4.15254e-07, -0.994771
4.06077e-07, -0.992043
3.97297e-07, -0.988113
3.88889e-07, -0.593085
3.80829e-07, -0.822285
3.73096e-07, -0.341839
3.65672e-07, -0.657808
3.58537e-07, -0.595759
3.51675e-07, -0.266716
3.4507e-07, -0.686529
3.3871e-07, -0.0921135
3.32579e-07, -0.649508
3.26667e-07, -0.707857
3.20961e-07, -0.0339455
3.15451e-07, -0.452428
3.10127e-07, -0.111083
3.04979e-07, -0.469874
3e-07, -0.499487


