

lambda(nm), T
1500, -0.790681
1386.79, -0.810182
1289.47, -0.794953
1204.92, -0.810882
1130.77, -0.81068
1065.22, -0.764275
1006.85, -0.0182582
954.545, -0.0829869
907.407, -0.0137725
864.706, -0.152799
825.843, -0.0279968
790.323, -0.472306
757.732, -0.574882
727.723, -0.759217
700, -0.841171
674.312, -0.859158
650.442, -0.86074
628.205, -0.86345
607.438, -0.863313
588, -0.862385
569.767, -0.857521
552.632, -0.787823
536.496, -0.309903
521.277, -0.407926
506.897, -0.0932164
493.289, -0.189526
480.392, -0.0362052
468.153, -0.0614795
456.522, -0.134211
445.455, -0.712073
434.911, -0.845747
424.855, -0.859019
415.254, -0.869479
406.077, -0.865056
397.297, -0.860476
388.889, -0.845518
380.829, -0.448382
373.096, -0.510207
365.672, -0.356155
358.537, -0.506806
351.675, -0.323344
345.07, -0.368173
338.71, -0.462707
332.579, -0.376424
326.667, -0.484846
320.961, -0.442739
315.451, -0.225579
310.127, -0.37518
304.979, -0.310919
300, -0.373619


