

lambda(m), Y
2e-06, -0.0400395
1.997e-06, -0.0402007
1.99401e-06, -0.0403649
1.99104e-06, -0.0405342
1.98807e-06, -0.0407093
1.9851e-06, -0.0408894
1.98215e-06, -0.0410724
1.97921e-06, -0.0412555
1.97627e-06, -0.0414362
1.97335e-06, -0.0416128
1.97043e-06, -0.0417854
1.96752e-06, -0.0419552
1.96462e-06, -0.0421247
1.96173e-06, -0.0422968
1.95884e-06, -0.0424738
1.95597e-06, -0.0426567
1.9531e-06, -0.042845
1.95024e-06, -0.0430368
1.94739e-06, -0.0432294
1.94455e-06, -0.0434201
1.94172e-06, -0.0436071
1.93889e-06, -0.0437897
1.93608e-06, -0.0439693
1.93327e-06, -0.044148
1.93047e-06, -0.0443288
1.92768e-06, -0.0445141
1.92489e-06, -0.0447054
1.92212e-06, -0.0449025
1.91935e-06, -0.0451036
1.91659e-06, -0.0453063
1.91383e-06, -0.0455076
1.91109e-06, -0.0457055
1.90835e-06, -0.045899
1.90562e-06, -0.0460891
1.9029e-06, -0.0462778
1.90019e-06, -0.046468
1.89748e-06, -0.0466624
1.89479e-06, -0.0468627
1.8921e-06, -0.0470691
1.88941e-06, -0.0472802
1.88674e-06, -0.0474934
1.88407e-06, -0.047706
1.88141e-06, -0.0479154
1.87876e-06, -0.0481206
1.87611e-06, -0.048322
1.87348e-06, -0.0485215
1.87085e-06, -0.048722
1.86822e-06, -0.0489262
1.86561e-06, -0.0491362
1.863e-06, -0.0493524
1.8604e-06, -0.049574
1.85781e-06, -0.0497984
1.85522e-06, -0.0500228
1.85264e-06, -0.0502445
1.85007e-06, -0.0504621
1.8475e-06, -0.0506756
1.84495e-06, -0.0508868
1.8424e-06, -0.0510983
1.83985e-06, -0.051313
1.83732e-06, -0.0515334
1.83479e-06, -0.0517602
1.83226e-06, -0.0519928
1.82975e-06, -0.0522289
1.82724e-06, -0.0524658
1.82474e-06, -0.0527006
1.82224e-06, -0.0529314
1.81975e-06, -0.053158
1.81727e-06, -0.0533817
1.8148e-06, -0.0536051
1.81233e-06, -0.0538312
1.80987e-06, -0.0540626
1.80741e-06, -0.0543005
1.80497e-06, -0.0545446
1.80252e-06, -0.0547929
1.80009e-06, -0.0550427
1.79766e-06, -0.0552909
1.79524e-06, -0.0555355
1.79283e-06, -0.0557758
1.79042e-06, -0.0560129
1.78801e-06, -0.0562491
1.78562e-06, -0.0564875
1.78323e-06, -0.0567308
1.78085e-06, -0.0569807
1.77847e-06, -0.0572371
1.7761e-06, -0.0574985
1.77374e-06, -0.0577619
1.77138e-06, -0.0580245
1.76903e-06, -0.0582838
1.76668e-06, -0.0585388
1.76434e-06, -0.0587902
1.76201e-06, -0.0590401
1.75968e-06, -0.0592916
1.75736e-06, -0.0595476
1.75505e-06, -0.0598101
1.75274e-06, -0.0600795
1.75044e-06, -0.0603544
1.74814e-06, -0.0606323
1.74585e-06, -0.0609099
1.74357e-06, -0.0611847
1.74129e-06, -0.0614553
1.73902e-06, -0.0617219
1.73675e-06, -0.0619865
1.73449e-06, -0.0622521
1.73224e-06, -0.0625218
1.72999e-06, -0.0627978
1.72774e-06, -0.0630809
1.72551e-06, -0.0633701
1.72328e-06, -0.063663
1.72105e-06, -0.0639565
1.71883e-06, -0.0642476
1.71662e-06, -0.0645347
1.71441e-06, -0.0648176
1.71221e-06, -0.065098
1.71001e-06, -0.0653788
1.70782e-06, -0.065663
1.70563e-06, -0.0659534
1.70345e-06, -0.066251
1.70128e-06, -0.0665553
1.69911e-06, -0.0668641
1.69694e-06, -0.0671743
1.69479e-06, -0.0674827
1.69263e-06, -0.0677873
1.69049e-06, -0.0680877
1.68834e-06, -0.068385
1.68621e-06, -0.068682
1.68408e-06, -0.068982
1.68195e-06, -0.0692878
1.67983e-06, -0.069601
1.67772e-06, -0.0699213
1.67561e-06, -0.0702468
1.6735e-06, -0.0705746
1.6714e-06, -0.0709013
1.66931e-06, -0.0712246
1.66722e-06, -0.0715436
1.66514e-06, -0.0718591
1.66306e-06, -0.0721737
1.66099e-06, -0.0724907
1.65892e-06, -0.0728131
1.65686e-06, -0.0731428
1.6548e-06, -0.0734802
1.65275e-06, -0.0738235
1.6507e-06, -0.0741699
1.64866e-06, -0.0745161
1.64662e-06, -0.0748594
1.64459e-06, -0.0751983
1.64256e-06, -0.0755334
1.64054e-06, -0.0758671
1.63852e-06, -0.0762024
1.63651e-06, -0.0765428
1.63451e-06, -0.0768904
1.6325e-06, -0.077246
1.63051e-06, -0.0776084
1.62851e-06, -0.0779747
1.62653e-06, -0.0783416
1.62454e-06, -0.0787061
1.62256e-06, -0.0790665
1.62059e-06, -0.0794229
1.61862e-06, -0.0797772
1.61666e-06, -0.0801326
1.6147e-06, -0.0804924
1.61275e-06, -0.0808595
1.6108e-06, -0.0812347
1.60885e-06, -0.0816174
1.60691e-06, -0.082005
1.60498e-06, -0.0823941
1.60305e-06, -0.0827815
1.60112e-06, -0.0831651
1.5992e-06, -0.0835445
1.59728e-06, -0.0839213
1.59537e-06, -0.0842985
1.59346e-06, -0.0846797
1.59156e-06, -0.0850679
1.58966e-06, -0.0854645
1.58777e-06, -0.0858691
1.58588e-06, -0.0862796
1.58399e-06, -0.0866926
1.58211e-06, -0.0871047
1.58024e-06, -0.0875134
1.57837e-06, -0.0879178
1.5765e-06, -0.0883192
1.57464e-06, -0.0887205
1.57278e-06, -0.0891251
1.57092e-06, -0.0895363
1.56907e-06, -0.0899562
1.56723e-06, -0.0903847
1.56539e-06, -0.09082
1.56355e-06, -0.0912589
1.56172e-06, -0.0916977
1.55989e-06, -0.0921336
1.55807e-06, -0.0925654
1.55625e-06, -0.0929939
1.55443e-06, -0.0934215
1.55262e-06, -0.0938519
1.55081e-06, -0.0942886
1.54901e-06, -0.094734
1.54721e-06, -0.0951886
1.54542e-06, -0.0956509
1.54363e-06, -0.0961179
1.54184e-06, -0.0965858
1.54006e-06, -0.0970515
1.53828e-06, -0.0975133
1.53651e-06, -0.0979715
1.53474e-06, -0.0984283
1.53298e-06, -0.0988873
1.53121e-06, -0.0993522
1.52946e-06, -0.0998258
1.5277e-06, -0.100309
1.52595e-06, -0.100801
1.52421e-06, -0.101299
1.52247e-06, -0.101798
1.52073e-06, -0.102297
1.519e-06, -0.102791
1.51727e-06, -0.103282
1.51554e-06, -0.103772
1.51382e-06, -0.104263
1.5121e-06, -0.104759
1.51039e-06, -0.105264
1.50868e-06, -0.105778
1.50697e-06, -0.106303
1.50527e-06, -0.106834
1.50357e-06, -0.107369
1.50188e-06, -0.107903
1.50019e-06, -0.108434
1.4985e-06, -0.108962
1.49682e-06, -0.109487
1.49514e-06, -0.110013
1.49346e-06, -0.110545
1.49179e-06, -0.111084
1.49012e-06, -0.111634
1.48846e-06, -0.112195
1.4868e-06, -0.112763
1.48514e-06, -0.113337
1.48349e-06, -0.113911
1.48184e-06, -0.114482
1.48019e-06, -0.11505
1.47855e-06, -0.115615
1.47691e-06, -0.116181
1.47528e-06, -0.116752
1.47365e-06, -0.11733
1.47202e-06, -0.11792
1.47039e-06, -0.11852
1.46877e-06, -0.11913
1.46716e-06, -0.119746
1.46554e-06, -0.120364
1.46393e-06, -0.12098
1.46233e-06, -0.121593
1.46072e-06, -0.122203
1.45912e-06, -0.122814
1.45753e-06, -0.123428
1.45594e-06, -0.12405
1.45435e-06, -0.124683
1.45276e-06, -0.125328
1.45118e-06, -0.125984
1.4496e-06, -0.126648
1.44803e-06, -0.127314
1.44645e-06, -0.12798
1.44489e-06, -0.128644
1.44332e-06, -0.129304
1.44176e-06, -0.129964
1.4402e-06, -0.130628
1.43865e-06, -0.1313
1.4371e-06, -0.131982
1.43555e-06, -0.132677
1.434e-06, -0.133384
1.43246e-06, -0.1341
